title,link
LL.M in Insolvency & Bankruptcy Laws Merit List 2025-2027 Batch,https://nalsar.ac.in/images/LLM%20IBL%202025%20Merit%20List.pdf
"Registration/Renewal of Independent Directors with Independent Director's Databank can be made as per the Notification dated 18thJune, 2021",https://iica.nic.in/images/IDgetdocument.pdf
Summary Process on IICA,https://iica.nic.in/images/IICA-Presentation-2023.pdf
Annual Calendar,https://iica.nic.in/images/Publications/Annual-calendar_2025-26.pdf
IICA Brochure,https://iica.nic.in/images/Publications/IICA_Brochure_2025-26.pdf
LLM (IBL) Newsletter,https://iica.nic.in/Newsletter/Insolvency-Digest/Insolved-Insolvency-Digest-March-2025.pdf
"June, 2025",https://iica.nic.in/Newsletter/2025/Newsletter-June-25.pdf
"April, 2025",https://iica.nic.in/Newsletter/2025/Newsletter-April-25.pdf
"March, 2025",https://iica.nic.in/Newsletter/2025/Newsletter-march-25.pdf
"February, 2025",https://iica.nic.in/Newsletter/2025/Newsletter-Feb-25.pdf
"January, 2025",https://iica.nic.in/Newsletter/2025/Newsletter-January-25.pdf
"December, 2024",https://iica.nic.in/Newsletter/2024/Newsletter-Dec-24.pdf
"November, 2024",https://iica.nic.in/Newsletter/2024/Newsletter-Nov-24.pdf
"October, 2024",https://iica.nic.in/Newsletter/2024/Newsletter-Oct-24.pdf
"September, 2024",https://iica.nic.in/Newsletter/2024/Monthly-Newsletter-September-24.pdf
"August, 2024",https://iica.nic.in/Newsletter/2024/Monthly-Newsletter-August-24.pdf
"July, 2024",https://iica.nic.in/Newsletter/2024/Monthly-Newsletter-July-24.pdf
"June, 2024",https://iica.nic.in/Newsletter/2024/Monthly-Newsletter-June-24.pdf
"May, 2024",https://iica.nic.in/Newsletter/2024/Monthly-Newsletter-May-2024.pdf
"April, 2024",https://iica.nic.in/Newsletter/2024/Monthly-Newsletter-April-24.pdf
"March, 2024",https://iica.nic.in/Newsletter/2024/Monthly-Newsletter-Mar-24.pdf
"February, 2024",https://iica.nic.in/Newsletter/2024/Monthly-Newsletter-Feb-24.pdf
"January, 2024",https://iica.nic.in/Newsletter/2024/Monthly-Newsletter-Jan-24.pdf
"December, 2023",https://iica.nic.in/Newsletter/2023/Monthly-Newsletter-Dec-23.pdf
"November, 2023",https://iica.nic.in/Newsletter/2023/Monthly-Newsletter-Nov-2023.pdf
"October, 2023",https://iica.nic.in/Newsletter/2023/Monthly-Newsletter-Oct-23.pdf
"September, 2023",https://iica.nic.in/Newsletter/2023/Monthly-Newsletter-Sep-2023.pdf
"August, 2023",https://iica.nic.in/Newsletter/2023/Monthly-Newsletter-Aug-08-23.pdf
"June, 2023",https://iica.nic.in/Newsletter/2023/Monthly-Newsletter-June-2023.pdf
"May, 2023",https://iica.nic.in/Newsletter/2023/Monthly-Newsletter-May-2023.pdf
"April, 2023",https://iica.nic.in/Newsletter/2023/Monthly_Newsletter_Apr-2023.pdf
"March, 2023",https://iica.nic.in/Newsletter/2023/Monthly-Newsletter-Mar-3-23.pdf
"February, 2023",https://iica.nic.in/Newsletter/2023/Monthly-Newsletter-Jan-2-23.pdf
"January, 2023",https://iica.nic.in/Newsletter/January-2023/Monthly-Newsletter-Jan-1-13.pdf
"December, 2022",https://iica.nic.in/Newsletter/Monthly-Newsletter-Dec-1-11.pdf
"November, 2022",https://iica.nic.in/Newsletter/Monthly_Newsletter_Nov_2022.pdf
"October, 2022",https://iica.nic.in/Newsletter/Monthly-Newsletter-Oct_2022.pdf
"September, 2022",https://iica.nic.in/Newsletter/Monthly_Newsletter_SEP_2022.pdf
"August, 2022",https://iica.nic.in/Newsletter/IICA_Newsletter_Aug-2022.pdf
"July, 2022",https://iica.nic.in/newsletter/July-2022/IICA_Newsletter_July2022.pdf
"June, 2022",https://iica.nic.in/newsletter/June-2022/IICA_Newsletter_June2022.pdf
"May, 2022",https://iica.nic.in/newsletter/May-2022/IICA_Newsletter_May2022.pdf
"May, 2020",https://iica.nic.in/images/Newsletter/Newsletter_May-2020.pdf
"April, 2020",https://iica.nic.in/images/Newsletter/Newsletter-April-2020.pdf
"March, 2020",https://iica.nic.in/images/Newsletter/Newsletter_March-2020.pdf
"February, 2020",https://iica.nic.in/images/Newsletter/Newsletter_Feb2020.pdf
"January, 2020",https://iica.nic.in/images/Newsletter/Newsletter-Jan-2020.pdf
"November - December,2019",https://iica.nic.in/images/Newsletter/Newsletter-December-2019.pdf
October 2019,https://iica.nic.in/images/Newsletter/Newsletter_October-2019.pdf
September 2019,https://iica.nic.in/images/Newsletter/Newsletter-September-2019.pdf
August 2019,https://iica.nic.in/images/Newsletter/Newsletter-August-2019.pdf
July 2019,https://iica.nic.in/images/Newsletter/Newsletter_July-2019.pdf
June 2019,https://iica.nic.in/images/Newsletter/Newsletter_05_06_2019.pdf
May 2019,https://iica.nic.in/images/Newsletter/Newsletter_05_05_2019.pdf
April 2019,https://iica.nic.in/images/Newsletter/Newsletter_05-04-2019.pdf
"March, 14",https://iica.nic.in/images/Newsletter-March-19.pdf
February 2019,https://iica.nic.in/images/Newsletter-Feb-2019.pdf
January 2019,https://iica.nic.in/images/IICA-Newsletter-January-2019.pdf
Safe-to-Host Certificate,https://iica.nic.in/SecurityAudit/Security-Audit-Certificate-IICA-2024.pdf
